t [s]	Ux [V]	Uy [V]
13,009143	4,703135	0,008906
13,019143	4,745195	0,006354
13,029143	4,787255	0,002526
13,039143	4,836963	0,006354
13,049143	4,877748	0,002526
13,059143	4,917259	0,010181
13,089298	5,029419	0,008906
13,099298	5,062557	0,008906
13,109298	5,091872	0,002526
13,119298	5,127559	0,006354
13,129298	5,155599	0,002526
13,139298	5,18109	0,006354
13,149298	5,210404	0,010181
13,159298	5,23717	0,001251
13,169298	5,26521	0,008906
13,179298	5,291975	0,006354
13,208744	5,373546	0,008906
13,218744	5,399037	0,006354
13,228744	5,430901	0,002526
13,238744	5,470412	0,008906
13,248744	5,498452	0,002526
13,258744	5,535414	0,005078
13,268744	5,572375	0,010181
13,278744	5,606788	0,008906
13,288744	5,64375	0,006354
13,298744	5,690908	0,006354
13,322996	5,787774	0,006354
13,332996	5,820912	0,002526
13,342996	5,866796	0,008906
13,352996	5,907581	0,005078
13,362996	5,93817	0,002526
13,372996	5,981505	0,008906
13,382996	6,019741	0,006354
13,392996	6,055428	0,006354
13,402996	6,096214	0,008906
13,412996	6,122979	0,002526
13,428774	6,181608	0,006354
13,438774	6,210923	0,006354
13,448774	6,245336	0,008906
13,458774	6,267003	0,002526
13,468774	6,300141	0,010181
13,478774	6,323083	0,005078
13,488774	6,349848	0,002526
13,498774	6,37279	0,008906
13,508774	6,398281	0,006354
13,518774	6,421223	0,002526
13,538132	6,459459	0,003802
13,548132	6,491323	0,008906
13,558132	6,507892	0,006354
13,568132	6,538481	0,003802
13,578132	6,563972	0,002526
13,588132	6,594561	0,008906
13,598132	6,617503	0,002526
13,608132	6,65319	0,008906
13,618132	6,677407	0,006354
13,628132	6,707996	0,00763
13,651886	6,775547	0,005078
13,661886	6,801038	0,006354
13,671886	6,826529	0,002526
13,681886	6,846921	0,008906
13,691886	6,872412	0,002526
13,701886	6,897903	0,010181
13,711886	6,917021	0,006354
13,721886	6,938689	0,008906
13,731886	6,966729	0,008906
13,741886	6,98967	0,008906
13,771212	7,052123	0,008906
13,781212	7,066143	0,002526
13,791212	7,096732	0,008906
13,801212	7,117125	0,006354
13,811212	7,145165	0,003802
13,821212	7,17448	0,002526
13,831212	7,201245	0,002526
13,841212	7,231834	0,010181
13,851212	7,2586	0,008906
13,861212	7,289189	0,005078
13,890454	7,338896	0,002526
13,900454	7,352916	0,008906
13,910454	7,360563	0,006354
13,920454	7,378407	0,008906
13,930454	7,389878	0,006354
13,940454	7,406447	0,002526
13,950454	7,425565	0,003802
13,960454	7,442134	0,00763
13,970454	7,466351	0,006354
13,980454	7,481645	0,006354
14,004435	7,516058	0,003802
14,014435	7,546647	0,008906
14,024435	7,565765	0,006354
14,034435	7,583609	0,002526
14,044435	7,611649	0,008906
14,054435	7,640963	0,008906
14,064435	7,6792	0,006354
14,074435	7,705965	0,006354
14,084435	7,737829	0,006354
14,094435	7,758222	0,002526
14,110081	7,773516	0,006354
14,120081	7,781163	0,006354
14,130081	7,807929	0,002526
14,140081	7,813027	0,010181
14,150081	7,830871	0,006354
14,160081	7,849989	0,006354
14,170081	7,871656	0,006354
14,180081	7,898422	0,006354
14,190081	7,906069	0,006354
14,200081	7,926462	0,006354
14,214415	7,962149	0,008906
14,224415	7,977443	0,006354
14,234415	7,999111	0,010181
14,244415	8,014405	0,00763
14,254415	8,034798	0,006354
14,264415	8,051367	0,002526
14,274415	8,074309	0,008906
14,284415	8,08578	0,006354
14,294415	8,0998	0,003802
14,304415	8,111271	0,008906
14,333176	8,163527	0,008906
14,343176	8,177547	0,006354
14,353176	8,195391	0,002526
14,363176	8,205587	0,010181
14,373176	8,217058	0,003802
14,383176	8,231078	0,010181
14,393176	8,233627	0,005078
14,403176	8,251471	0,006354
14,413176	8,257843	0,00763
14,423176	8,276962	0,005078
14,437509	8,294805	0,010181
14,447509	8,305002	0,002526
14,457509	8,320296	0,005078
14,467509	8,330493	0,006354
14,477509	8,350885	0,010181
14,487509	8,367454	0,002526
14,497509	8,392945	0,006354
14,507509	8,412064	0,002526
14,517509	8,426084	0,006354
14,527509	8,440104	0,006354
14,557503	8,502556	0,006354
14,567503	8,539518	0,008906
14,577503	8,57648	0,002526
14,587503	8,591774	0,008906
14,597503	8,587951	0,002526
14,607503	8,587951	0,002526
14,617503	8,591774	0,006354
14,627503	8,591774	0,005078
14,637503	8,589225	0,002526
14,647503	8,5905	0,008906
14,670552	8,587951	0,002526
14,680552	8,587951	0,006354
14,690552	8,595598	0,008906
14,700552	8,594324	0,008906
14,710552	8,5905	0,008906
14,720552	8,5905	0,005078
14,730552	8,587951	0,002526
14,740552	8,589225	0,002526
14,750552	8,584127	0,006354
14,760552	8,565009	0,006354
14,787541	8,469418	0,005078
14,797541	8,424809	0,006354
14,807541	8,381474	0,003802
14,817541	8,331767	0,005078
14,827541	8,276962	0,006354
14,837541	8,220882	0,010181
14,847541	8,154605	0,006354
14,857541	8,089603	0,002526
14,867541	8,014405	0,006354
14,877541	7,930285	0,006354
14,8967	7,746751	0,006354
14,9067	7,65116	0,002526
14,9167	7,551745	0,006354
14,9267	7,4689	0,003802
14,9367	7,380956	0,006354
14,9467	7,289189	0,003802
14,9567	7,206343	0,006354
14,9667	7,1184	0,008906
14,9767	7,03173	0,008906
14,9867	6,941238	0,006354
15,002136	6,822705	0,006354
15,012136	6,729663	0,003802
15,022136	6,644269	0,006354
15,032136	6,55505	0,008906
15,042136	6,472205	0,006354
15,052136	6,40083	0,003802
15,062136	6,321808	0,006354
15,072136	6,247885	0,005078
15,082136	6,170137	0,006354
15,092136	6,094939	0,006354
15,106797	5,961112	0,003802
15,116797	5,888463	0,006354
15,126797	5,813265	0,008906
15,136797	5,740616	0,003802
15,146797	5,667966	0,006354
15,156797	5,596592	0,008906
15,166797	5,522668	0,008906
15,176797	5,446195	0,001251
15,186797	5,367174	0,008906
15,196797	5,280504	0,006354
15,213718	5,147952	0,006354
15,223718	5,062557	0,002526
15,233718	4,987359	0,003802
15,243718	4,909612	0,008906
15,253718	4,835688	0,005078
15,263718	4,76049	0,003802
15,273718	4,69039	0,003802
15,283718	4,627937	0,008906
15,293718	4,562935	0,003802
15,303718	4,491561	0,005078
15,332831	4,309301	0,006354
15,342831	4,253221	0,006354
15,352831	4,193317	0,002526
15,362831	4,124491	0,006354
15,372831	4,063313	0,002526
15,382831	3,994488	0,008906
15,392831	3,925662	0,00763
15,402831	3,854288	0,002526
15,412831	3,789286	0,006354
15,422831	3,728108	0,010181
15,45159	3,542024	0,005078
15,46159	3,474473	0,003802
15,47159	3,408197	0,003802
15,48159	3,331724	0,006354
15,49159	3,261624	0,005078
15,50159	3,186426	0,006354
15,51159	3,1176	0,008906
15,52159	3,039853	0,006354
